src, dest, d
A, B, 3.157531
A, C, 3.551056
A, D, 3.228947
A, E, 1.118034
A, F, 3.315065
A, G, 2.739350
A, H, 2.900042
A, I, 3.017253
A, J, 2.615317
A, K, 3.118237
B, C, 2.683281
B, D, 0.134536
B, E, 4.244997
B, F, 2.154292
B, G, 1.907337
B, H, 1.365373
B, I, 2.099670
B, J, 1.829231
B, K, 2.099381
C, D, 2.813201
C, E, 4.545327
C, F, 4.663236
C, G, 4.235651
C, H, 3.841614
C, I, 4.512096
C, J, 4.110241
C, K, 4.550098
D, E, 4.307679
D, F, 2.063939
D, G, 1.846891
D, H, 1.291758
D, I, 2.024460
D, J, 1.776853
D, K, 2.018539
E, F, 4.068802
E, G, 3.533134
E, H, 3.812944
E, I, 3.767733
E, J, 3.430727
E, K, 3.873422
F, G, 0.584301
F, H, 0.824059
F, I, 0.301849
F, J, 0.721136
F, K, 0.197524
G, H, 0.577162
G, I, 0.311143
G, J, 0.142346
G, K, 0.395052
H, I, 0.734299
H, J, 0.549588
H, K, 0.738810
I, J, 0.453485
I, K, 0.105906
J, K, 0.535448