k,d,recall,time
1,0.000000,0.015873,0.000019
2,0.000000,0.031746,0.000019
3,0.000000,0.047619,0.000019
4,0.000000,0.063492,0.000019
5,0.000000,0.079365,0.000019
6,0.000000,0.095238,0.000019
7,0.000000,0.111111,0.000019
8,0.000000,0.126984,0.000019
9,0.000000,0.142857,0.000019
10,0.000000,0.158730,0.000019
11,0.000000,0.174603,0.000019
12,0.000000,0.190476,0.000019
13,0.000000,0.206349,0.000019
14,0.000000,0.222222,0.000019
15,0.000000,0.238095,0.000019
16,0.000000,0.253968,0.000019
17,0.000000,0.269841,0.000019
18,0.000000,0.285714,0.000019
19,0.000000,0.301587,0.000020
20,0.000000,0.317460,0.000020
21,0.000000,0.333333,0.000020
22,0.000000,0.349206,0.000020
23,0.000000,0.365079,0.000020
24,0.000000,0.380952,0.000020
25,0.000000,0.396825,0.000020
26,0.000000,0.412698,0.000020
27,0.000000,0.428571,0.000020
28,0.000000,0.444444,0.000020
29,0.000000,0.460317,0.000020
30,0.000000,0.476190,0.000020
31,0.000000,0.492063,0.000020
32,0.000000,0.507937,0.000020
33,0.000000,0.523810,0.000020
34,0.000000,0.539683,0.000020
35,0.000000,0.555556,0.000020
36,0.000000,0.571429,0.000020
37,0.000000,0.587302,0.000020
38,0.000000,0.603175,0.000020
39,0.000000,0.619048,0.000020
40,0.000000,0.634921,0.000020
41,0.000000,0.650794,0.000020
42,0.000000,0.666667,0.000020
43,0.000000,0.682540,0.000020
44,0.000000,0.698413,0.000020
45,0.000000,0.714286,0.000020
46,0.000000,0.730159,0.000020
47,0.000000,0.746032,0.000020
48,0.000000,0.761905,0.000020
49,0.000000,0.777778,0.000020
50,0.000000,0.793651,0.000020
51,0.000000,0.809524,0.000020
52,0.000000,0.825397,0.000020
53,0.000000,0.841270,0.000020
54,0.000000,0.857143,0.000020
55,0.000000,0.873016,0.000020
56,0.000000,0.888889,0.000020
57,0.000000,0.904762,0.000020
58,0.000000,0.920635,0.000020
59,0.000000,0.936508,0.000020
60,0.000000,0.952381,0.000020
61,0.000000,0.968254,0.000020
62,0.000000,0.984127,0.000020
63,0.000000,1.000000,0.000020
64,0.089391,1.000000,0.715271
65,0.189216,0.511811,0.812656
66,0.189216,0.519685,0.812656
67,0.189216,0.527559,0.812656
68,0.189216,0.535433,0.812656
69,0.189216,0.543307,0.812656
70,0.189216,0.551181,0.812656
71,0.189216,0.559055,0.812656
72,0.189216,0.566929,0.812656
73,0.189216,0.574803,0.812656
74,0.189216,0.582677,0.812656
75,0.189216,0.590551,0.812656
76,0.189216,0.598425,0.812656
77,0.189216,0.606299,0.812656
78,0.189216,0.614173,0.812656
79,0.189216,0.622047,0.812656
80,0.189216,0.629921,0.812656
81,0.189216,0.637795,0.812656
82,0.189216,0.645669,0.812656
83,0.189216,0.653543,0.812656
84,0.189216,0.661417,0.812656
85,0.189216,0.669291,0.812656
86,0.189216,0.677165,0.812656
87,0.189216,0.685039,0.812656
88,0.189216,0.692913,0.812656
89,0.189216,0.700787,0.812656
90,0.189216,0.708661,0.812656
91,0.189216,0.716535,0.812656
92,0.189216,0.724409,0.812656
93,0.189216,0.732283,0.812656
94,0.189216,0.740157,0.812656
95,0.189216,0.748031,0.812656
96,0.189216,0.755906,0.812656
97,0.189216,0.763780,0.812656
98,0.189216,0.771654,0.812656
99,0.189216,0.779528,0.812656
100,0.189216,0.787402,0.812656
101,0.189216,0.795276,0.812656
102,0.189216,0.803150,0.812656
103,0.189216,0.811024,0.812656
104,0.189216,0.818898,0.812656
105,0.189216,0.826772,0.812656
106,0.189216,0.834646,0.812656
107,0.189216,0.842520,0.812656
108,0.189216,0.850394,0.812656
109,0.189216,0.858268,0.812656
110,0.189216,0.866142,0.812656
111,0.189216,0.874016,0.812656
112,0.189216,0.881890,0.812656
113,0.189216,0.889764,0.812656
114,0.189216,0.897638,0.812656
115,0.189216,0.905512,0.812656
116,0.189216,0.913386,0.812656
117,0.189216,0.921260,0.812656
118,0.189216,0.929134,0.812656
119,0.189216,0.937008,0.812656
120,0.189216,0.944882,0.812656
121,0.189216,0.952756,0.812657
122,0.189216,0.960630,0.812657
123,0.189216,0.968504,0.812657
124,0.189216,0.976378,0.812657
125,0.189216,0.984252,0.812657
126,0.189216,0.992126,0.812657
127,0.189216,1.000000,0.812657
128,0.211208,1.000000,0.812657
129,0.218958,1.000000,0.812657
130,0.220485,1.000000,0.812657
131,0.220692,1.000000,0.812657
132,0.220692,1.000000,0.812657
133,0.222066,0.985185,0.812657
134,0.222282,0.992593,0.812657
135,0.222282,1.000000,0.812657
136,0.227183,1.000000,0.812657
137,0.230418,1.000000,0.812657
138,0.230510,1.000000,0.812657
139,0.234830,1.000000,0.812657
140,0.234830,1.000000,0.812657
141,0.234830,1.000000,0.812657
142,0.237760,1.000000,0.812657
143,0.242550,1.000000,0.812657
144,0.242843,1.000000,0.812657
145,0.246416,0.979730,0.812657
146,0.246416,0.986486,0.812657
147,0.246416,0.993243,0.812657
148,0.246416,1.000000,0.812657
149,0.247940,1.000000,0.812657
150,0.249825,1.000000,0.812657
151,0.251013,0.993421,0.812657
152,0.251096,1.000000,0.812657
153,0.253829,1.000000,0.812657
154,0.254750,1.000000,0.812657
155,0.254750,1.000000,0.812657
156,0.257678,1.000000,0.812657
157,0.258040,1.000000,0.812657
158,0.259817,1.000000,0.812657
159,0.261368,1.000000,0.812657
160,0.261951,1.000000,0.812657
161,0.262153,1.000000,0.812657
162,0.263445,1.000000,0.812657
163,0.264209,1.000000,0.812657
164,0.265193,1.000000,0.812657
165,0.265925,1.000000,0.812657
166,0.265925,1.000000,0.812657
167,0.267751,1.000000,0.812657
168,0.267753,1.000000,0.812657
169,0.269077,0.982558,0.812657
170,0.269124,0.988372,0.812657
171,0.269198,0.994186,0.812657
172,0.269479,1.000000,0.812657
173,0.270798,1.000000,0.812657
174,0.271345,1.000000,0.812657
175,0.271903,1.000000,0.812657
176,0.272022,0.994350,0.812657
177,0.272022,1.000000,0.812657
178,0.273065,1.000000,0.812657
179,0.273752,1.000000,0.812657
180,0.275076,1.000000,0.812657
181,0.275509,1.000000,0.812657
182,0.275670,1.000000,0.812657
183,0.275670,1.000000,0.812657
184,0.276808,1.000000,0.812657
185,0.276937,1.000000,0.812657
186,0.277180,0.989362,0.812657
187,0.277314,0.994681,0.812657
188,0.277314,1.000000,0.812658
189,0.277795,1.000000,0.812658
190,0.279016,0.994764,0.812658
191,0.279319,1.000000,0.812658
192,0.279765,1.000000,0.812658
193,0.280139,0.994845,0.812658
194,0.280396,1.000000,0.812658
195,0.281030,0.955882,0.812658
196,0.281030,0.960784,0.812658
197,0.281030,0.965686,0.812658
198,0.281030,0.970588,0.812658
199,0.281030,0.975490,0.812658
200,0.281030,0.980392,0.812658
201,0.281030,0.985294,0.812658
202,0.281030,0.990196,0.812658
203,0.281030,0.995098,0.812658
204,0.281444,1.000000,0.812658
205,0.281513,1.000000,0.812658
206,0.281513,1.000000,0.812658
207,0.281755,1.000000,0.812658
208,0.281760,1.000000,0.812658
209,0.283490,0.995238,0.812658
210,0.283490,1.000000,0.812658
211,0.283650,1.000000,0.812658
212,0.283681,1.000000,0.812658
213,0.283912,1.000000,0.812658
214,0.283912,1.000000,0.812658
215,0.283975,1.000000,0.812658
216,0.284180,1.000000,0.812658
217,0.284728,1.000000,0.812658
218,0.284728,1.000000,0.812658
219,0.284728,1.000000,0.812658
220,0.284728,1.000000,0.812658
221,0.284735,1.000000,0.812658
222,0.284735,1.000000,0.812658
223,0.284735,1.000000,0.812658
224,0.284735,1.000000,0.812658
225,0.285280,0.995575,0.812658
226,0.285434,1.000000,0.812658
227,0.285678,1.000000,0.812658
228,0.285678,1.000000,0.812658
229,0.286172,1.000000,0.812658
230,0.286676,1.000000,0.812658
231,0.286797,1.000000,0.812658
232,0.286797,1.000000,0.812658
233,0.286797,1.000000,0.812658
234,0.286797,1.000000,0.812658
235,0.287269,0.991561,0.812658
236,0.287394,0.995781,0.812658
237,0.287447,1.000000,0.812658
238,0.287932,1.000000,0.812658
239,0.289123,0.912214,0.812658
240,0.289232,0.916031,0.812658
241,0.289232,0.919847,0.812658
242,0.289232,0.923664,0.812658
243,0.289232,0.927481,0.812658
244,0.289232,0.931298,0.812658
245,0.289232,0.935115,0.812658
246,0.289232,0.938931,0.812658
247,0.289232,0.942748,0.812658
248,0.289232,0.946565,0.812658
249,0.289232,0.950382,0.812658
250,0.289232,0.954198,0.812658
251,0.289232,0.958015,0.812658
252,0.289232,0.961832,0.812658
253,0.289232,0.965649,0.812658
254,0.289232,0.969466,0.812658
255,0.289232,0.973282,0.812659
256,0.289232,0.977099,0.812659
257,0.289232,0.980916,0.812659
258,0.289232,0.984733,0.812659
259,0.289232,0.988550,0.812659
260,0.289232,0.992366,0.812659
261,0.289232,0.996183,0.812659
262,0.289232,1.000000,0.812659
263,0.289558,1.000000,0.812659
264,0.290022,0.992481,0.812659
265,0.290210,0.996241,0.812659
266,0.290210,1.000000,0.812659
267,0.291066,0.992565,0.812659
268,0.291314,0.996283,0.812659
269,0.291470,1.000000,0.812659
270,0.291639,1.000000,0.812659
271,0.291639,1.000000,0.812659
272,0.291770,1.000000,0.812659
273,0.292105,1.000000,0.812659
274,0.293071,0.992754,0.812659
275,0.293341,0.996377,0.812659
276,0.293368,1.000000,0.812659
277,0.293627,1.000000,0.812659
278,0.294142,0.996416,0.812659
279,0.294232,1.000000,0.812659
280,0.294583,1.000000,0.812659
281,0.294583,1.000000,0.812659
282,0.295081,0.986014,0.812659
283,0.295081,0.989510,0.812659
284,0.295081,0.993007,0.812659
285,0.295385,0.996503,0.812659
286,0.295485,1.000000,0.812659
287,0.295652,1.000000,0.812659
288,0.295923,1.000000,0.812659
289,0.296425,1.000000,0.812659
290,0.296555,1.000000,0.812659
291,0.296598,1.000000,0.812659
292,0.296982,1.000000,0.812659
293,0.296991,1.000000,0.812659
294,0.297154,0.989899,0.812659
295,0.297182,0.993266,0.812659
296,0.297372,0.996633,0.812659
297,0.297384,1.000000,0.812659
298,0.298177,0.983498,0.812659
299,0.298214,0.986799,0.812659
300,0.298214,0.990099,0.812659
301,0.298214,0.993399,0.812659
302,0.298214,0.996700,0.812659
303,0.298214,1.000000,0.812659
304,0.298936,1.000000,0.812659
305,0.299241,0.983871,0.812659
306,0.299412,0.987097,0.812659
307,0.299412,0.990323,0.812659
308,0.299412,0.993548,0.812659
309,0.299450,0.996774,0.812659
310,0.299485,1.000000,0.812659
311,0.299567,1.000000,0.812659
312,0.299665,1.000000,0.812659
313,0.299819,1.000000,0.812659
314,0.299994,1.000000,0.812659
315,0.300352,0.981308,0.812659
316,0.300352,0.984424,0.812659
317,0.300352,0.987539,0.812659
318,0.300418,0.990654,0.812659
319,0.300418,0.993769,0.812659
320,0.300418,0.996885,0.812659
321,0.300418,1.000000,0.812659
322,0.300923,1.000000,0.812660
323,0.300923,1.000000,0.812660
324,0.300923,1.000000,0.812660
325,0.301025,0.996933,0.812660
326,0.301466,1.000000,0.812660
327,0.301684,1.000000,0.812660
328,0.301694,1.000000,0.812660
329,0.301839,1.000000,0.812660
330,0.301949,1.000000,0.812660
331,0.302011,0.993994,0.812660
332,0.302413,0.996997,0.812660
333,0.302497,1.000000,0.812660
334,0.302639,1.000000,0.812660
335,0.302716,1.000000,0.812660
336,0.302920,1.000000,0.812660
337,0.302985,1.000000,0.812660
338,0.303043,0.957507,0.812660
339,0.303086,0.960340,0.812660
340,0.303138,0.963173,0.812660
341,0.303150,0.966006,0.812660
342,0.303150,0.968839,0.812660
343,0.303150,0.971671,0.812660
344,0.303150,0.974504,0.812660
345,0.303150,0.977337,0.812660
346,0.303150,0.980170,0.812660
347,0.303150,0.983003,0.812660
348,0.303186,0.985836,0.812660
349,0.303310,0.988669,0.812660
350,0.303338,0.991501,0.812660
351,0.303496,0.994334,0.812660
352,0.303496,0.997167,0.812660
353,0.303496,1.000000,0.812660
354,0.303622,1.000000,0.812660
355,0.303645,1.000000,0.812660
356,0.303828,1.000000,0.812660
357,0.304426,1.000000,0.812660
358,0.304686,1.000000,0.812660
359,0.304711,1.000000,0.812660
360,0.304821,1.000000,0.812660
361,0.305207,0.937662,0.812660
362,0.305301,0.940260,0.812660
363,0.305402,0.942857,0.812660
364,0.305402,0.945455,0.812660
365,0.305402,0.948052,0.812660
366,0.305402,0.950649,0.812660
367,0.305402,0.953247,0.812660
368,0.305402,0.955844,0.812660
369,0.305402,0.958442,0.812660
370,0.305402,0.961039,0.812660
371,0.305402,0.963636,0.812660
372,0.305402,0.966234,0.812660
373,0.305402,0.968831,0.812660
374,0.305402,0.971429,0.812660
375,0.305402,0.974026,0.812660
376,0.305402,0.976623,0.812660
377,0.305402,0.979221,0.812660
378,0.305402,0.981818,0.812660
379,0.305402,0.984416,0.812660
380,0.305402,0.987013,0.812660
381,0.305402,0.989610,0.812660
382,0.305402,0.992208,0.812660
383,0.305402,0.994805,0.812660
384,0.305447,0.997403,0.812660
385,0.305447,1.000000,0.812660
386,0.306074,0.992288,0.812660
387,0.306074,0.994859,0.812660
388,0.306085,0.997429,0.812660
389,0.306421,1.000000,0.812661
390,0.306740,1.000000,0.812661
391,0.306864,1.000000,0.812661
392,0.306949,1.000000,0.812661
393,0.307154,0.997462,0.812661
394,0.307397,1.000000,0.812661
395,0.307604,1.000000,0.812661
396,0.307761,1.000000,0.812661
397,0.307866,1.000000,0.812661
398,0.307950,1.000000,0.812661
399,0.307966,1.000000,0.812661
400,0.308016,0.992556,0.812661
401,0.308053,0.995037,0.812661
402,0.308106,0.997519,0.812661
403,0.308249,1.000000,0.812661
404,0.308592,1.000000,0.812661
405,0.308592,1.000000,0.812661
406,0.308592,1.000000,0.812661
407,0.309264,1.000000,0.812661
408,0.309558,1.000000,0.812661
409,0.309592,1.000000,0.812661
410,0.309592,1.000000,0.812661
411,0.309735,1.000000,0.812661
412,0.309735,1.000000,0.812661
413,0.310066,0.978673,0.812661
414,0.310129,0.981043,0.812661
415,0.310129,0.983412,0.812661
416,0.310181,0.985782,0.812661
417,0.310325,0.988152,0.812661
418,0.310325,0.990521,0.812661
419,0.310343,0.992891,0.812661
420,0.310343,0.995261,0.812661
421,0.310480,0.997630,0.812661
422,0.310482,1.000000,0.812661
423,0.310773,1.000000,0.812661
424,0.310845,1.000000,0.812661
425,0.310901,1.000000,0.812661
426,0.310995,1.000000,0.812661
427,0.310995,1.000000,0.812661
428,0.311019,0.979405,0.812661
429,0.311092,0.981693,0.812661
430,0.311092,0.983982,0.812661
431,0.311092,0.986270,0.812661
432,0.311092,0.988558,0.812661
433,0.311092,0.990847,0.812661
434,0.311092,0.993135,0.812661
435,0.311092,0.995423,0.812661
436,0.311356,0.997712,0.812661
437,0.311356,1.000000,0.812661
438,0.311589,1.000000,0.812661
439,0.311668,1.000000,0.812661
440,0.311752,1.000000,0.812661
441,0.311752,1.000000,0.812661
442,0.311752,1.000000,0.812661
443,0.311814,1.000000,0.812661
444,0.311892,1.000000,0.812661
445,0.311926,1.000000,0.812661
446,0.311985,1.000000,0.812661
447,0.312067,0.973856,0.812661
448,0.312069,0.976035,0.812661
449,0.312145,0.978213,0.812661
450,0.312145,0.980392,0.812661
451,0.312145,0.982571,0.812661
452,0.312145,0.984749,0.812661
453,0.312145,0.986928,0.812661
454,0.312145,0.989107,0.812661
455,0.312145,0.991285,0.812661
456,0.312233,0.993464,0.812662
457,0.312233,0.995643,0.812662
458,0.312330,0.997821,0.812662
459,0.312331,1.000000,0.812662
460,0.312553,1.000000,0.812662
461,0.312762,1.000000,0.812662
462,0.313051,0.991416,0.812662
463,0.313273,0.993562,0.812662
464,0.313329,0.995708,0.812662
465,0.313395,0.997854,0.812662
466,0.313461,1.000000,0.812662
467,0.313537,1.000000,0.812662
468,0.313537,1.000000,0.812662
469,0.313573,1.000000,0.812662
470,0.313831,1.000000,0.812662
471,0.314022,0.991579,0.812662
472,0.314099,0.993684,0.812662
473,0.314197,0.995789,0.812662
474,0.314212,0.997895,0.812662
475,0.314363,1.000000,0.812662
476,0.314935,1.000000,0.812662
477,0.315219,0.995825,0.812662
478,0.315379,0.997912,0.812662
479,0.315385,1.000000,0.812662
480,0.315551,1.000000,0.812662
481,0.315551,1.000000,0.812662
482,0.315551,1.000000,0.812662
483,0.315581,1.000000,0.812662
484,0.315598,1.000000,0.812662
485,0.315598,1.000000,0.812662
486,0.315721,1.000000,0.812662
487,0.315792,1.000000,0.812662
488,0.315797,1.000000,0.812662
489,0.315836,1.000000,0.812662
490,0.315874,1.000000,0.812662
491,0.315901,1.000000,0.812662
492,0.316055,0.991935,0.812662
493,0.316128,0.993952,0.812662
494,0.316232,0.995968,0.812662
495,0.316301,0.997984,0.812662
496,0.316461,1.000000,0.812662
497,0.316815,1.000000,0.812662
498,0.317174,0.997996,0.812662
499,0.317429,1.000000,0.812662
500,0.317541,1.000000,0.812662
501,0.317541,1.000000,0.812662
