k,peak_momory_usage_kb,nb_threads,knn data structure
10,2381640,64,sorted-arr
50,2382484,64,sorted-arr
100,2384120,64,sorted-arr
500,2400480,64,sorted-arr
1000,2414992,64,sorted-arr
5000,2530796,64,sorted-arr
10000,2661128,64,sorted-arr
50000,0000000,64,sorted-arr
10,2381644,64,minmax-heap
50,2382748,64,minmax-heap
100,2384432,64,minmax-heap
500,2401568,64,minmax-heap
1000,2416624,64,minmax-heap
5000,2538116,64,minmax-heap
10000,2675100,64,minmax-heap
50000,3834284,64,minmax-heap
100000,5276576,64,minmax-heap
500000,16340716,64,minmax-heap
1000000,31084460,64,minmax-heap
10,0000000,64,os-tree
50,0000000,64,os-tree
100,0000000,64,os-tree
500,0000000,64,os-tree
1000,0000000,64,os-tree
5000,0000000,64,os-tree
10000,0000000,64,os-tree
50000,0000000,64,os-tree
100000,0000000,64,os-tree
500000,0000000,64,os-tree
1000000,0000000,64,os-tree